类型,案例类型,案例编号,状态,主题,指派给,案例设计,交易名称,系统模块,描述,案例执行,测试数据,测试步骤,预期结果,验证日期,测试轮次,专项测试,产品种类,开始日期,计划完成日期,% 完成
测试案例,反例,案例编号882,新建,财富E站通-行内转账（收款方）,,李秘,行内转账,财富E站通,财富E站通-行内转账（收款方）,,111-停止存入交易（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-行内转账（收款方），收款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号883,新建,财富E站通-行内转账（付款方）,,李秘,行内转账,财富E站通,财富E站通-行内转账（付款方）,,111-停止存入交易（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-行内转账（付款方），付款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号884,新建,财富E站通-行内转账（收款方）,,李秘,行内转账,财富E站通,财富E站通-行内转账（收款方）,,111-停止存入交易（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-行内转账（收款方），收款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号885,新建,财富E站通-行内转账（付款方）,,李秘,行内转账,财富E站通,财富E站通-行内转账（付款方）,,111-停止存入交易（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-行内转账（付款方），付款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号886,新建,财富E站通-行内转账（收款方）,,李秘,行内转账,财富E站通,财富E站通-行内转账（收款方）,,111-停止存入交易（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-行内转账（收款方），收款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号887,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码",转账成功,,UAT-2,无,无,,,
测试案例,反例,案例编号888,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码错误","1.显示输入密码界面
2.提示密码错误重新输入",,UAT-2,无,无,,,
测试案例,反例,案例编号889,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额
4、未点击本人已知晓该笔为普通转账，非实时到账",无法提交,,UAT-2,无,无,,,
测试案例,反例,案例编号890,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额大于卡内余额","1.提示余额不足
2.转账失败",,UAT-2,无,无,,,
测试案例,反例,案例编号891,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名、账号输入错误
3、输入转账金额","1.提示账户与户名不匹配
2.转账失败",,UAT-2,无,无,,,
测试案例,正例,案例编号892,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额50000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权",转账成功,,UAT-2,授权,无,,,
测试案例,反例,案例编号893,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额50000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权未授权",转账失败,,UAT-2,授权,无,,,
测试案例,正例,案例编号894,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额500000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、请求三级授权",转账成功,,UAT-2,授权,无,,,
测试案例,反例,案例编号895,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转个人,,身份证、一类银行卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额500000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权",没有权限，转账失败,,UAT-2,授权,无,,,
测试案例,反例,案例编号896,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-本人办理业务,,身份证、一类银行卡,1、用户登录，理财经理登录内屏,本人办理业务不允许登录,,UAT-2,无,无,,,
测试案例,正例,案例编号897,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额10000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码",转账成功,,UAT-2,限额测试,无,,,
测试案例,反例,案例编号898,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,1、当日再次转入1000,二类卡受限、转账失败,,UAT-2,限额测试,无,,,
测试案例,正例,案例编号899,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,1、次日转入10000,次日限额恢复、转账成功,,UAT-2,限额测试,无,,,
测试案例,反例,案例编号900,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额10001
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码",二类卡限额、转账失败,,UAT-2,限额测试,无,,,
测试案例,,案例编号901,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额1000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码错误","1.显示输入密码界面
2.提示密码错误重新输入",,UAT-2,限额测试,无,,,
测试案例,,案例编号902,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额
4、未点击本人已知晓该笔为普通转账，非实时到账",无法提交,,UAT-2,限额测试,无,,,
测试案例,,案例编号903,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额大于卡内余额","1.提示余额不足
2.转账失败",,UAT-2,限额测试,无,,,
测试案例,,案例编号904,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名、账号输入错误
3、输入转账金额","1.提示账户与户名不匹配
2.转账失败",,UAT-2,限额测试,无,,,
测试案例,,案例编号905,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡（二类卡）-转个人,,身份证、二类卡,"1、用户登录，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额10000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码",转账成功,,UAT-2,限额测试,无,,,
测试案例,正例,案例编号906,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账查询（E站通）,,,1.转账成功后点击明细查询,显示转账信息正确，查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号907,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账查询打印（E站通）,,,1.查询成功点击打印,打印转账信息与查询一致，打印成功,,UAT-2,无,无,,,
测试案例,正例,案例编号908,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账柜面查询,,,1.查询对个人账单是否入账,成功入账，查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号909,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账STM查询,,,1.查询对个人账单明细是否入账,成功入账，查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号910,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公户名账号
3、输入转账金额、选择开户行
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码",转账成功,,UAT-2,无,无,,,
测试案例,反例,案例编号911,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公户名账号
3、输入转账金额
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码错误","1.显示输入密码界面
2.提示密码错误重新输入",,UAT-2,无,无,,,
测试案例,反例,案例编号912,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公户名账号
3、输入转账金额
4、未点击本人已知晓该笔为普通转账，非实时到账",无法提交,,UAT-2,无,无,,,
测试案例,反例,案例编号913,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公户名账号
3、输入转账金额、未选择开户行
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码",提示输入开户行,,UAT-2,无,无,,,
测试案例,正例,案例编号914,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公户名账号
3、输入转账金额、开户行输入不正确
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
",转账成功,,UAT-2,无,无,,,
测试案例,反例,案例编号915,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,1、开户行错误，未到账,转账失败,,UAT-2,无,无,,,
测试案例,反例,案例编号916,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公户名账号
3、输入转账金额大于卡内余额","1.提示余额不足
2.转账失败",,UAT-2,无,无,,,
测试案例,反例,案例编号917,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公收款人户名、账号输入错误
3、输入转账金额","1.提示账户与户名不匹配
2.转账失败",,UAT-2,无,无,,,
测试案例,正例,案例编号918,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公收款人户名账号
3、输入转账金额50000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权",转账成功,,UAT-2,授权,无,,,
测试案例,反例,案例编号919,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公收款人户名账号
3、输入转账金额50000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权未授权",转账失败,,UAT-2,授权,无,,,
测试案例,正例,案例编号920,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公收款人户名账号
3、输入转账金额500000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、请求三级授权",转账成功,,UAT-2,授权,无,,,
测试案例,反例,案例编号921,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,,"1、用户登录，点击转账
2、点击跨行转账，输入对公收款人户名账号
3、输入转账金额500000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权",没有权限，转账失败,,UAT-2,授权,无,,,
测试案例,反例,案例编号922,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码",转账成功,,UAT-2,无,无,,,
测试案例,反例,案例编号923,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码错误","1.显示输入密码界面
2.提示密码错误重新输入",,UAT-2,无,无,,,
测试案例,反例,案例编号924,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额
4、未点击本人已知晓该笔为普通转账，非实时到账",无法提交,,UAT-2,无,无,,,
测试案例,反例,案例编号925,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额大于卡内余额","1.提示余额不足
2.转账失败",,UAT-2,无,无,,,
测试案例,反例,案例编号926,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名、账号输入错误
3、输入转账金额","1.提示账户与户名不匹配
2.转账失败",,UAT-2,无,无,,,
测试案例,反例,案例编号927,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额50000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权",转账成功,,UAT-2,授权,无,,,
测试案例,反例,案例编号928,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额50000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权未授权",转账失败,,UAT-2,授权,无,,,
测试案例,反例,案例编号929,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额500000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、请求三级授权",转账成功,,UAT-2,授权,无,,,
测试案例,反例,案例编号930,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-银行卡-转对公,,用户身份证、存折,"1、用户登录、刷存折，点击转账
2、点击跨行转账，输入收款人户名账号
3、输入转账金额500000
4、点击本人已知晓该笔为普通转账，非实时到账
5、点击确定，输入密码
6、理财经理授权",没有权限，转账失败,,UAT-2,授权,无,,,
测试案例,正例,案例编号931,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折查询（E站通）,,,1.转账成功后点击明细查询,显示转账信息正确，查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号932,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折查询打印（E站通）,,,1.查询成功点击打印,打印转账信息与查询一致，打印成功,,UAT-2,无,无,,,
测试案例,正例,案例编号933,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折STM查询,,,1.查询付款方账单明细是否转出,成功入账，查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号934,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账-存折STM存折补登,,,1、STM机刷存折点击存折补登,补登成功,,UAT-2,无,无,,,
测试案例,正例,案例编号935,新建,转账,,刘梦月,跨行转账,理财外屏,跨行转账柜面查询,,,1、柜面登录、查询付款方账单明细是否转出,成功入账，查询成功,,UAT-2,无,无,,,
测试案例,反例,案例编号949,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,101-停止帐户所有交易（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号950,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,101-停止帐户所有交易（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号951,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,101-停止帐户所有交易（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号953,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,123-对公证件到期限制（不收不付）（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号958,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,112-停止支取交易（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号959,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,112-停止支取交易（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号960,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,112-停止支取交易（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号961,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,115-客户冻结（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号962,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,115-客户冻结（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号963,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,115-客户冻结（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号964,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,124-账户止付账户限制（只收不付）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号965,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,124-账户止付账户限制（只收不付）（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号966,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,124-账户止付账户限制（只收不付）（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号967,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,135-超期未对账（只收不付）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号968,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,135-超期未对账（只收不付）（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号970,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,136-数字银行止付限制（只收不付）（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号971,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,121-有权机关冻结（只收不付）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号975,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,113-挂失专用止付（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号976,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,113-挂失专用止付（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号978,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,116-密码挂失（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交报错,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号979,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,"122-暂停非柜面业务(只收不付)
（客户级）","测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号980,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,105-有权机关冻结（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.当交易金额大于账户的可用余额时，交易提交报错；当交易金额不大于账户的可用余额时，交易提交成功；,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号982,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,103-余额止付（不限制批处理）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.当交易金额大于账户的可用余额时，交易提交报错；当交易金额不大于账户的可用余额时，交易提交成功；,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号983,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,104-余额止付（不限制批处理）（系统使用）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.当交易金额大于账户的可用余额时，交易提交报错；当交易金额不大于账户的可用余额时，交易提交成功；,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号985,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,132-存款证明专用限制（余额冻结）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.当交易金额大于账户的可用余额时，交易提交报错；当交易金额不大于账户的可用余额时，交易提交成功；,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号991,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,130-理财系统冻结（余额冻结）（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.当交易金额大于账户的可用余额时，交易提交报错；当交易金额不大于账户的可用余额时，交易提交成功；,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号993,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,111-停止存入交易（账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号994,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,111-停止存入交易（主账户限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,正例,案例编号995,新建,财富E站通-跨行转账（付款方）,,李秘,跨行转账,财富E站通,财富E站通-跨行转账（付款方）,,111-停止存入交易（客户级限制）,"测试账户存在的限制类型参见“测试数据”；
1.执行财富E站通-跨行转账（付款方），付款账户存在限制",1.提交成功,,UAT-2,账户限制,无,,,
测试案例,反例,案例编号996,新建,保险产品业务,,刘梦月,保险产品购买,理财外屏,保险产品展示,,,"1.进入外屏开始使用客户放置身份证，插入银行卡
2.进入主界面检查客户是否进行理财签约和风险评估
3.未评估无法投保，需进行理财签约与风险评估
","1.进入界面后，外屏显示我
的信息、我的资产、签约评估、存款明细
2.无法投保",,UAT-2,无,无,,,
测试案例,反例,案例编号997,新建,保险产品业务,,刘梦月,购买保险产品未评估,理财外屏,保险产品展示,,,"1.进入外屏开始使用客户放置身份证，插入银行卡
2.进入主界面检查客户是否进行理财签约和风险评估
3.已签约，未进行风险评估点击
","1.进入界面后，外屏显示我
的信息、我的资产、签约评估、存款明细
2.未评估无法投保",,UAT-2,无,无,,,
测试案例,正例,案例编号998,新建,保险产品业务,,刘梦月,保险产品-风险评估,理财外屏,保险产品展示,,,"1.进入外屏开始使用客户放置身份证，插入银行卡
2.进入主界面检查客户是否进行理财签约和风险评估
3.已签约、风险评估点击投保
","1.进入界面后，外屏显示我
的信息、我的资产、签约评估、存款明细
2.已签约和风险评估
3.显示保险产品信息",,UAT-2,无,无,,,
测试案例,正例,案例编号999,新建,保险产品业务,,刘梦月,保险产品购买,理财外屏,保险产品展示,,,"1.进入一款保险产品“利无忧”分红型保险点击投保
2.产品详情查看点击立即投保","1.主界面显示所有保险产品
2.详细信息显示“利无忧”保险详情",,UAT-2,无,无,,,
测试案例,正例,案例编号1000,新建,保险产品业务,,刘梦月,保险产品购买,理财外屏,投保人信息,,,1.进入“利无忧”保险产品，填写投保人信息,"1.电子渠投保，投保人只能
是当前用户本身，自动显示投保人姓名、性别、身份证号码、出生日期",,UAT-2,无,无,,,
